politician,country,birth date,death date,political party,gender,Instagram followers,Instagram link,X followers,X link
Janet Zebedayo Mbene,Tanzania,1952.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Koike Yuriko,Japan,1952.0,,LDP (Japan),female,,,916938.0,ecoyuri
Maria Guadalupe Cecilia Romero Castillo,Mexico,1952.0,,Partido Accion Nacional (Mexico),female,,,,
Damanaki Theodorou Maria,Greece,1952.0,,Pa.so.k. Panhellenic Socialist Movement (Greece),female,,,,
Tsuchiya Shinako,Japan,1952.0,,LDP (Japan),female,,,362.0,shinako_jimusho
Maria Manuel Leitao Marques,Portugal,1952.0,,PS (Portugal),female,,,,
Takagi Michiyo,Japan,1952.0,,KM (Japan),female,,,,
Katseli Loukia Tarsitsa Louka,Greece,1952.0,,Pa.so.k. Panhellenic Socialist Movement (Greece),female,,,,
Marie Arlette Carlotti,France,1952.0,,Parti Socialiste (France),female,,,16719.0,MACarlotti
Dominique Orliac,France,1952.0,,Parti Radical De Gauche (France),female,,,1022.0,D_Orliac
Berta Cabral,Portugal,1952.0,,PSD (Portugal),female,,,,
Khuon Sodary,Cambodia,1952.0,,Cambodian People S Party (Cambodia),female,,,,
Dolores Roque,France,1952.0,,,female,,,333.0,Dolores_Roque
Sumedha G. Jayasena,Sri Lanka,1952.0,,United People S Freedom Alliance (Sri Lanka),female,,,,
Halina Licnerska,Poland,1952.0,1994.0,Unia Pracy Klub Parlamentarny (Poland),female,,,,
Thyra Frank,Denmark,1952.0,,Liberal Alliance (Denmark),female,,,,
Fakharia Shomar Khamis,Tanzania,1952.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Grazyna Kotowicz,Poland,1952.0,,Klub Parlamentarny Polskiego Stronnictwa Ludowego (Poland),female,,,,
Ewa Lewicka Legowska,Poland,1952.0,2008.0,Sojusz Lewicy Demokratycznej Klub Parlamentarny (Poland),female,,,,
Jill Long Thompson,United States,1952.0,,Democrat (United States),female,,,,
Orit Noked,Israel,1952.0,,Haatzma Ut (Israel),female,,,,
Marguerite Deprez Audebert,France,1952.0,,Mouvement Democrate (France),female,,,3116.0,MDeprezAudebert
Janina Kraus,Poland,1952.0,,Kolo Parlamentarne Alternatywa (Poland),female,,,,
Fattorini Emma,Italy,1952.0,,Partito Democratico (Italy),female,,,2482.0,EmmaFattorini
Grazyna Pijanowska,Poland,1952.0,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej (Poland),female,,,,
Elzbieta Romero,Poland,1952.0,2011.0,Klub Parlamentarny Socjaldemokracji Polskiej (Poland),female,,,,
Karin Andersen,Norway,1952.0,,Sosialistisk Venstreparti (Norway),female,,,,
Marina Solodkin,Israel,1952.0,2013.0,Kadima (Israel),female,,,,
Pizzol Nadia,Italy,1952.0,,LEGA (Italy),female,,,,
Dalia Itzik,Israel,1952.0,,Kadima (Israel),female,,,,
Laura Alicia Franco Aguirre,Guatemala,1952.0,,FCN (Guatemala),female,,,,
Gisele Biemouret,France,1952.0,,Parti Socialiste (France),female,,,3656.0,GiseleBiemouret
Ana Maria Surra Spadea,Spain,1952.0,,G.p. Esquerra Republicana (Spain),female,,,7028.0,anasurra
Bozenna Bukiewicz,Poland,1952.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Zhang Yan,China,1952.0,,,female,,,,
Jitka Kupcova,Czech Republic,1952.0,,Poslanecky Klub Ceske Strany Socialne Demokraticke (Czech Republic),female,,,,
Bossa Luisa,Italy,1952.0,,Partito Democratico (Italy),female,,,,LBcameralive
Blazina Tamara,Italy,1952.0,,Partito Democratico (Italy),female,,,251.0,TamaraBlazina
Brenda Cannell,United Kingdom,1952.0,,Independent (Isle of Man),female,,,,
Rosa Maria Diez,Spain,1952.0,,UPYD (Spain),female,,,383802.0,rosadiezglez
Tang Shi Li,China,1952.0,,,female,,,,
Hanna Gronkiewicz Waltz,Poland,1952.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Ludmila Brynychova,Czech Republic,1952.0,2009.0,Poslanecky Klub Komunisticke Strany Cech A Moravy (Czech Republic),female,,,,
Dr. Mary Michael Nagu,Tanzania,1952.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Elisabeth Naucler,Finland,1952.0,,RKP (Finland),female,,,,
Elzbieta Jankowska,Poland,1952.0,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej (Poland),female,,,,
Shi Lian Xi,China,1952.0,,,female,,,,
Maria Tolppanen,Finland,1952.0,,Sosialidemokraatit (Finland),female,,,1222.0,MTolppanen
Elisabet Knutsson,Sweden,1952.0,,Miljopartiet De Grona (Sweden),female,,,,
Eevi Paasmae,Estonia,1952.0,,Estonian Centre Party (Estonia),female,,,,
Shu Lei Lo,,1952.0,,KMT (Taiwan),female,,,,
Danuta Olejniczak,Poland,1952.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Zofia Popiolek,Poland,1952.0,,Kolo Poselskie Ruch Palikota (Poland),female,,,,
Kathy Riklin,Switzerland,1952.0,,C (Switzerland),female,,,8177.0,KathyRiklin
Jinny Sims,Canada,1952.0,,NDP (Canada),female,,,5942.0,jinnysims
Jean Crowder,Canada,1952.0,,NDP (Canada),female,,,,JeanCrowder
Salma Ataullahjan,Canada,1952.0,,Conservative Party Of Canada (Canada),female,,,13775.0,SenatorSalma
Sylvia Kotting Uhl,Germany,1952.0,,Alliance 90 The Greens (Germany),female,,,,BabettesChefin
Ursula Schulte,Germany,1952.0,,Social Democratic Party Of Germany (Germany),female,,,,
Jana Lassakova,Slovak Republic,1952.0,,Smer Socialna Demokracia (Slovakia),female,,,,
Mary Jane Mccallum,Canada,1952.0,,Independent Senators Group (Canada),female,,,,
Sonia Rincon Chanona,Mexico,1952.0,,Partido Nueva Alianza (Mexico),female,,,,
Norma Haydee Durango,Argentina,1952.0,,Alianza Frente P Victoria Peronismo Pampeano (Argentina),female,,,,norma_durango
Elisabeth Charlotte Motschmann,Germany,1952.0,,Christian Democratic Union (Germany),female,,,,
Anne Birgitte Lundholt,Denmark,1952.0,,The Conservative Party (Denmark),female,,,,
Susan M. Collins,United States,1952.0,,Republican (United States),female,,,554270.0,SenatorCollins
Barbel Hohn,Germany,1952.0,,Grune (Germany),female,,,15426.0,BaerbelHoehn
Carola Stauche,Germany,1952.0,,CDU (Germany),female,,,,
Barbara Hendricks,Germany,1952.0,,Social Democratic Party Of Germany (Germany),female,,,,
Elfi Scho Antwerpes,Germany,1952.0,,SPD (Germany),female,,,238.0,Elfi_Scho_A
Wohlwend Renate,Liechtenstein,1952.0,,FBP (Liechtenstein),female,,,,
Amann Marxer Marlies,Liechtenstein,1952.0,,VU (Liechtenstein),female,,,,
Maria Isabel Pozuelo,Spain,1952.0,,PSOE (Spain),female,,,,
Gladys Del Valle Requena,Venezuela,1952.0,,PSUV (Venezuela),female,,,,
Jutta Eckenbach,Germany,1952.0,,CDU (Germany),female,,,6.0,JEckenbach
Lena Strothmann,Germany,1952.0,,CDU (Germany),female,,,,
Mo Wen Xiu,China,1952.0,,,female,,,,
Marieluise Beck,Germany,1952.0,,Grune (Germany),female,,,16903.0,MarieluiseBeck
Emily Lau Wai Hing,China,1952.0,,"Democrat United States (Hong Kong SAR, China)",female,,,,
Caroline Machoro Reignier,France,1952.0,,Uc Flnks Et Nationalistes (New Caledonia),female,,,,
Andrea West,Australia,1952.0,2010.0,Liberal Party (Australia),female,,,,
Zhao Shao Hua,China,1952.0,,,female,,,,
Jana Dubovcova,Slovak Republic,1952.0,,Klub Sdku Ds (Slovakia),female,,,,
Marta Damborska,Slovak Republic,1952.0,,Klub Sns (Slovakia),female,,,,
Silva Semadeni,Switzerland,1952.0,,S (Switzerland),female,,,,
Anne Baastrup,Denmark,1952.0,,Socialistisk Folkeparti (Denmark),female,,,,
Wan Azizah Wan Ismail,Malaysia,1952.0,,People S Justice Party (Malaysia),female,,,,
Maria Hassan,Sweden,1952.0,,Socialdemokraterna (Sweden),female,,,,
Bahia Hariri,Lebanon,1952.0,,Future Movement (Lebanon),female,,,,
Lelde Stumbre,Latvia,1952.0,,National Alliance Of All For Latvia And For Fatherland And Freedom Lnnk (Latvia),female,,,,
Jana Haluskova,Slovak Republic,1952.0,,Klub Sdl (Slovakia),female,,,,
Cheryl Gillan,United Kingdom,1952.0,,Conservative (United Kingdom),female,,,,CherylGillanMP
Bridget Prentice,United Kingdom,1952.0,,Labour (United Kingdom),female,,,,
Janina Kursite Pakule,Latvia,1952.0,,National Alliance 34 All For Latvia 34 34 For Fatherland And Freedom Lnnk 34 (Latvia),female,,,,
Gerd Janne Kristoffersen,Norway,1952.0,,Arbeiderpartiet (Norway),female,,,,
Helga Lopez,Germany,1952.0,,SPD (Germany),female,,,,
Bafadhili Awadhi Nuru,Tanzania,1952.0,,CUF (Tanzania),female,,,,
Areli Madrid Tovilla,Mexico,1952.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Amanda Vanstone,Australia,1952.0,,Liberal Party (Australia),female,,,,
Barbara Keeley,United Kingdom,1952.0,,Labour (United Kingdom),female,,,28562.0,KeeleyMP
Martine David,France,1952.0,,Socialiste (France),female,,,,
Khalaf Al Enezi,Kuwait,1952.0,,Independent (Kuwait),female,,,,
Gunn Olsen,Norway,1952.0,2013.0,Arbeiderpartiet (Norway),female,,,,
Smyr J Fr Ly Mhmd,Iraq,1952.0,,Y Tlf Dwl Lqnwn (Iraq),female,,,,
Irina Georgieva Bokova,Bulgaria,1952.0,,Coalition For Bulgaria (Bulgaria),female,,,17.0,IrinaBokova
Thuwayba Idrisa Muhammed,Tanzania,1952.0,,CUF (Tanzania),female,,,,
Angelika Mertens,Germany,1952.0,,SPD (Germany),female,,,,
Barbara Imhof,Germany,1952.0,,SPD (Germany),female,,,,
Christa Nickels,Germany,1952.0,,Bundnis 90 Die Grunen (Germany),female,,,,
Christine Lehder,Germany,1952.0,,SPD (Germany),female,,,,
Gerlinde Kaupa,Germany,1952.0,,CSU (Germany),female,,,,
Irene Mcgugan,United Kingdom,1952.0,,Scottish National Party (United Kingdom),female,,,,
Barbara Stewart,New Zealand,1952.0,,Nz First (New Zealand),female,,,,BStewartMP
Sylvia Fluckiger Bani,Switzerland,1952.0,,V (Switzerland),female,,,,
Vera Lengsfeld,Germany,1952.0,,CDU (Germany),female,,,,
Nghidinwa Annette Ndilinasho Rosalia,Namibia,1952.0,2018.0,Swapo (Namibia),female,,,,
Martine Billard,France,1952.0,,Gauche Democrate Et Republicaine (France),female,,,18988.0,MartineBillard
Marie Francoise Perol Dumont,France,1952.0,,Socialiste Radical Et Citoyen Et Divers Gauche (France),female,,,1194.0,mfperoldumont87
Eleanor Scott,United Kingdom,1951.0,,Green (United Kingdom),female,,,,
Grozdana Banac,Serbia,1951.0,,Party Of United Pensioners Of Serbia (Serbia),female,,,,
Marlyn Glen,United Kingdom,1951.0,,Labour (United Kingdom),female,,,,
Brigitte Jank,Austria,1951.0,,OVP (Austria),female,,,,
Marietta Farrell,United Kingdom,1951.0,,Social Democratic And Labour Party (United Kingdom),female,,,,
Agathe Fontain,Denmark,1951.0,,Inuit Ataqatigiit (Greenland),female,,,,
Marinka Levicar,Slovenia,1951.0,,Democratic Party Of Pensioners Of Slovenia (Slovenia),female,,,,
Mag. Gertrude Aubauer,Austria,1951.0,,OVP (Austria),female,,,,
Dominique Nachury,France,1951.0,,Les Republicains (France),female,,,,
Joelle Ceccaldi Raynaud,France,1951.0,,Union Pour Un Mouvement Populaire (France),female,,,2908.0,Joelle_CR
Anne Berit Andersen,Norway,1951.0,,Hoyre (Norway),female,,,,
Monika Bruning,Germany,1951.0,,CDU (Germany),female,,,,
Joan Humble,United Kingdom,1951.0,,Labour (United Kingdom),female,,,,
Danica Bukvic,Serbia,1951.0,,Socialist Party Of Serbia (Serbia),female,,,,
Judy Mallaber,United Kingdom,1951.0,,Labour (United Kingdom),female,,,,
Cathy Peattie,United Kingdom,1951.0,,Labour (United Kingdom),female,,,,
Anne Colley,Ireland,1951.0,,Progressive Democrats (Ireland),female,,,,
Peggy Nash,Canada,1951.0,,NDP (Canada),female,,,,PeggyNashNDP
Karen Thurman,United States,1951.0,,Democrat (United States),female,,,,
R Biyy T Aslanova,Azerbaijan,1951.0,,Yeni Az Rbaycan Partiyasi (Azerbaijan),female,,,,
Maria Sanjuana Cerda Franco,Mexico,1951.0,,Partido Nueva Alianza (Mexico),female,,,,
Nguyen Thi Doan,Vietnam,1951.0,,,female,,,,
Daniele Hoffman Rispal,France,1951.0,,Parti Socialiste (France),female,,,2436.0,Dhoffmanrispal
Nathalie Gautier,France,1951.0,2006.0,Socialiste (France),female,,,,
Lynne Jones,United Kingdom,1951.0,,Labour (United Kingdom),female,,,,
Bozena Gaj,Poland,1951.0,,Klub Parlamentarny Konfederacji Polski Niepodleglej (Poland),female,,,,
Menga Danuser,Switzerland,1951.0,2011.0,S (Switzerland),female,,,,
Sandra White,United Kingdom,1951.0,,Scottish National Party (United Kingdom),female,,,12807.0,SandraWhiteSNP
Irene Mathyssen,Canada,1951.0,,NDP (Canada),female,,,5602.0,irenemathyssen
Roseanna Cunningham,United Kingdom,1951.0,,Scottish National Party (United Kingdom),female,,,24910.0,strathearnrose
Anna Knysok,Poland,1951.0,,Klub Parlamentarny Konwencja Polska (Poland),female,,,,
Maureen Watt,United Kingdom,1951.0,,Scottish National Party (United Kingdom),female,,,5223.0,maureenSNP
Nicole Dubre Chirat,France,1951.0,,En Marche (France),female,,,5416.0,NicoleDubre17
Marilou Mcphedran,Canada,1951.0,,Independent Senators Group (Canada),female,,,,
Alfheidur Ingadottir,Iceland,1951.0,,Left Green Movement (Iceland),female,,,,
Stephanie Baumann,Switzerland,1951.0,,S (Switzerland),female,,,,
Elizabeth Marshall,Canada,1951.0,,Conservative Party Of Canada (Canada),female,,,,
Marielle De Sarnez,France,1951.0,,Mouvement Democrate (France),female,,,18134.0,desarnez
Sally Keeble,United Kingdom,1951.0,,Labour (United Kingdom),female,,,,
Agnes Weber,Switzerland,1951.0,,S (Switzerland),female,,,,
Lee Rhiannon,Australia,1951.0,,Australian Greens (Australia),female,,,20115.0,leerhiannon
Borghild Tenden,Norway,1951.0,,Venstre (Norway),female,,,,
Slavica Djukic Dejanovic,Serbia,1951.0,,Socialist Party Of Serbia (Serbia),female,,,,predsednicaNSRS
Hj. Melani Leimena Suharli,Indonesia,1951.0,,Democrat Party Faction (Indonesia),female,,,,
Laila Arjuman Banu,Bangladesh,1951.0,,Bangladesh Awami League (Bangladesh),female,,,,
Monika Balt,Germany,1951.0,,PDS (Germany),female,,,,
Silvestro Annalisa,Italy,1951.0,,Partito Democratico (Italy),female,,,974.0,ALSilvestro
Birute Vesaite,Lithuania,1951.0,,Lietuvos Socialdemokratu Partijos Frakcija (Lithuania),female,,,,
Maria Zuba,Poland,1951.0,,Klub Parlamentarny Prawo I Sprawiedliwosc (Poland),female,,,,
Francoise Briand,France,1951.0,,Apparente A L Union Pour Un Mouvement Populaire (France),female,,,,
Wang Jun Lian,China,1951.0,,,female,,,,
Edelgard Bulmahn,Germany,1951.0,,SPD (Germany),female,,,,
Theopista Ssentongo Nabulya,Uganda,1951.0,,National Resistance Movement (Uganda),female,,,,
Madeleine Taylor Quinn,Ireland,1951.0,,Fine Gael (Ireland),female,,,,
Helga Moos,Denmark,1951.0,,The Liberal Party (Denmark),female,,,,
Krystyna Cencek,Poland,1951.0,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej (Poland),female,,,,
Kiumbwa Makame Mbaraka,Tanzania,1951.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Nkandu Luo,Zambia,1951.0,,Patriotic Front (Zambia),female,,,,
Monique Boulestin,France,1951.0,,Socialiste Radical Et Citoyen Et Divers Gauche (France),female,,,,
Heidi Larssen,Norway,1951.0,,Hoyre (Norway),female,,,,
Teresa Cunillera,Spain,1951.0,,Psc Psoe (Spain),female,,,2637.0,tcunillera
Ewa Mankowska,Poland,1951.0,,Klub Parlamentarny Akcji Wyborczej Solidarnosc (Poland),female,,,,
Barbara Imiolczyk,Poland,1951.0,,Klub Parlamentarny Unii Wolnosci (Poland),female,,,,
Krystyna Herman,Poland,1951.0,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej (Poland),female,,,,
Elvira Drobinski Weiss,Germany,1951.0,,SPD (Germany),female,,,,
Hildegard Fassler Osterwalder,Switzerland,1951.0,,S (Switzerland),female,,,,
Gabriele Losekrug Moller,Germany,1951.0,,SPD (Germany),female,,,,
Siw Wittgren Ahl,Sweden,1951.0,,Socialdemokraterna (Sweden),female,,,,
Marita Ulvskog,Sweden,1951.0,,Socialdemokraterna (Sweden),female,,,14755.0,maritaulvskog
Amina Amour Abdulla,Tanzania,1951.0,,CUF (Tanzania),female,,,,
Gunilla Wahlen,Sweden,1951.0,,Vansterpartiet (Sweden),female,,,,
Anne Marie Palsson,Sweden,1951.0,,Moderata Samlingspartiet (Sweden),female,,,,
Yvonne Andersson,Sweden,1951.0,,Kristdemokraterna (Sweden),female,,,,
Alicja Chybicka,Poland,1951.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Marietta De Pourbaix Lundin,Sweden,1951.0,,Moderata Samlingspartiet (Sweden),female,,,,
Rumana Mahmood,Bangladesh,1951.0,,Bangladesh Nationalist Party (Bangladesh),female,,,,
Julia Irwin,Australia,1951.0,,Australian Labor Party (Australia),female,,,,
Anita Schafer,Germany,1951.0,,Christian Democratic Union (Germany),female,,,,
Anna Roschova,Czech Republic,1951.0,,Poslanecky Klub Obcanske Demokraticke Strany (Czech Republic),female,,,,
Therese Frosch,Switzerland,1951.0,,G (Switzerland),female,,,,
Mwambwa Gertrude Mulumemui Mwendaweli Imenda,Zambia,1951.0,,Alliance For Democracy And Development (Zambia),female,,,,
Jana Gavlasova,Czech Republic,1951.0,,Poslanecky Klub Ceske Strany Socialne Demokraticke (Czech Republic),female,,,,
Ann Corcoran,Australia,1951.0,,Australian Labor Party (Australia),female,,,,
Angelika Barbe,Germany,1951.0,,SPD (Germany),female,,,,
Hill Marta Solberg,Norway,1951.0,,Arbeiderpartiet (Norway),female,,,,
Eva Matouskova,Czech Republic,1951.0,,Sdruzeni Pro Republiku Republikanska Strana Ceskoslovenska (Czech Republic),female,,,,
Esther Quintana Salinas,Mexico,1951.0,,Partido Accion Nacional (Mexico),female,,,,
Eva Bengtson,Sweden,1951.0,,Moderata Samlingspartiet (Sweden),female,,,,
Dorothea Szwed,Germany,1951.0,,CDU (Germany),female,,,,
Christine Marin,France,1951.0,,Union Pour Un Mouvement Populaire (France),female,,,,
Karmazina Raisa Vasil Evna,Russia,1951.0,,Edinaia Rossiia (Russia),female,,,,
Kabanova Valentina Viktorovna,Russia,1951.0,,Edinaia Rossiia (Russia),female,,,,
Kaci Kullmann Five,Norway,1951.0,2017.0,Hoyre (Norway),female,,,,
Christina Oskarsson,Sweden,1951.0,,Socialdemokraterna (Sweden),female,,,,
Boeva Natal Ia Dmitrievna,Russia,1951.0,,Edinaia Rossiia (Russia),female,,,,
Jolanta Hibner,Poland,1951.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Bsnd Hmd Fhm Mhmd Fhm,Egypt,1951.0,,Mstql (Egypt),female,,,,
Theresa Ahearn,Ireland,1951.0,2000.0,Fine Gael (Ireland),female,,,,
Regina Wasilewska Kita,Poland,1951.0,,Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej (Poland),female,,,,
Christa Vennegerts,Germany,1951.0,2010.0,Die Grunen (Germany),female,,,,
Cecile Untermaier,France,1951.0,,Parti Socialiste (France),female,,,4727.0,ceciluntermaier
Maria De Jesus Huerta Rea,Mexico,1951.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Helga Brahmst Rock,Germany,1951.0,,Die Grunen (Germany),female,,,,
Gwen Moore,United States,1951.0,,Democrat (United States),female,,repgwenmoore,44266.0,RepGwenMoore
Maija Liisa Lindqvist,Finland,1951.0,,Keskusta (Finland),female,,,,
Maria Luise Teubner,Germany,1951.0,,Die Grunen (Germany),female,,,,
Maija Rask,Finland,1951.0,,Sosialidemokraatit (Finland),female,,,,
Kari Lise Holmberg,Norway,1951.0,,Hoyre (Norway),female,,,,
Pany Yathortou,Lao PDR,1951.0,,,female,,,,
Zhang Su Rong,China,1951.0,,,female,,,,
Wenche Lyngholm,Norway,1951.0,,Sosialistisk Venstreparti (Norway),female,,,,
Bozena Szydlowska,Poland,1951.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Birgitte Josefsen,Denmark,1951.0,,The Liberal Party (Denmark),female,,,,
Isabel Mota,Portugal,1951.0,,PSD (Portugal),female,,,,
Helena Falcao,Portugal,1951.0,,PSD (Portugal),female,,,,
Helena Barbosa,Portugal,1951.0,,Cds Pp (Portugal),female,,,,
Kathrin Hilber,Switzerland,1951.0,,S (Switzerland),female,,,,
Laimdota Straujuma,Latvia,1951.0,,Unity (Latvia),female,,,10692.0,Straujuma
Sinikka Hurskainen,Finland,1951.0,,Sosialidemokraatit (Finland),female,,,,
Amelia Brito,Portugal,1951.0,,PS (Portugal),female,,,,
Donna Dasko,Canada,1951.0,,Independent Senators Group (Canada),female,,,,
Brigitte Le Brethon,France,1951.0,,Union Pour La Majorite Presidentielle (France),female,,,,
Fatima Amaral,Portugal,1951.0,,PCP (Portugal),female,,,,
Susan Knowles,Australia,1951.0,,Liberal Party (Australia),female,,,,
Eduarda Castro,Portugal,1951.0,,PS (Portugal),female,,,,
Geraldine Kennedy,Ireland,1951.0,,Progressive Democrats (Ireland),female,,,,
Bindi Rosy,Italy,1951.0,,Partito Democratico (Italy),female,,,77557.0,rosy_bindi
Helena Valkova,Czech Republic,1951.0,,Poslanecky Klub Ano 2011 (Czech Republic),female,,,,
Ulrike Flach,Germany,1951.0,,FDP (Germany),female,,,,
Ulla Maj Wideroos,Finland,1951.0,,RKP (Finland),female,,,,
Maria Celeste Cardona,Portugal,1951.0,,Cds Pp (Portugal),female,,,,
Luisa Portugal,Portugal,1951.0,,PS (Portugal),female,,,,
Dorothy Mupeta Kazunga,Zambia,1951.0,,Patriotic Front (Zambia),female,,,,
Colleen Hanabusa,United States,1951.0,,Democrat (United States),female,,,10783.0,RepHanabusa
Anne Marie Idrac,France,1951.0,,Union Pour La Democratie Francaise (France),female,,,10315.0,annemarieidrac
Mona Ritzen,Sweden,1951.0,,Moderata Samlingspartiet (Sweden),female,,,,
Monica Widnemark,Sweden,1951.0,,Socialdemokraterna (Sweden),female,,,,
Sue Boyce,Australia,1951.0,,Liberal Party (Australia),female,,,,
Sibylle Pfeiffer,Germany,1951.0,,CDU (Germany),female,,,814.0,SibyllePfeiffer
Diane Black,United States,1951.0,,Republican (United States),female,,repdianeblack,26147.0,RepDianeBlack
Katarina Cizmarikova,Slovak Republic,1951.0,,Klub Sop (Slovakia),female,,,,
Uda Heller,Germany,1951.0,,CDU (Germany),female,,,,
Sigrun Eng,Norway,1951.0,,Arbeiderpartiet (Norway),female,,,,
Indranie Chandarpal,Guyana,1951.0,,People S Progressive Party (Guyana),female,,,,
Satu Hassi,Finland,1951.0,,Vihrea Liitto (Finland),female,,,24967.0,satuhassi
Undine Kurth,Germany,1951.0,,Grune (Germany),female,,,,
Silviia Nikolaeva Aleksieva,Bulgaria,1951.0,,Coalition For Bulgaria (Bulgaria),female,,,,
Lilian Estella Patel,Malawi,1951.0,,UDF (Malawi),female,,,,
Lynne Featherstone,United Kingdom,1951.0,,Liberal Democrat (United Kingdom),female,,,,
Liu Li,China,1951.0,,,female,,,,
Ruth Hiyob Mollel,Tanzania,1951.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Feng Shu Ping,China,1951.0,,,female,,,,
Maria Guadalupe Sanchez Santiago,Mexico,1951.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Isilda Gomes,Portugal,1951.0,,PS (Portugal),female,,,,
Zuzka Bebarova Rujbrova,Czech Republic,1951.0,,Poslanecky Klub Komunisticke Strany Cech A Moravy (Czech Republic),female,,,,
Bev Busson,Canada,1951.0,,Independent Senators Group (Canada),female,,,,
Sukran Guldal Mumcu,Turkey,1951.0,,Cumhuriyet Halk Partisi (Turkey),female,,,,
Francoise Pitteloud,Switzerland,1951.0,,S (Switzerland),female,,,,
Clara Carneiro,Portugal,1951.0,,PSD (Portugal),female,,,,
Esperanca Esteve,Spain,1951.0,,Psc Psoe (Spain),female,,,3457.0,eesteveortega
Mary Salifu Boforo Hajia,Ghana,1951.0,,National Democratic Congress (Ghana),female,,,,
Vlasta Parkanova,Czech Republic,1951.0,,Nezarazeni (Czech Republic),female,,,,
Qian Yuan,China,1951.0,,,female,,,,
Anny Poursinoff,France,1951.0,,,female,,,,
Katrin Dahl Jakobsen,Denmark,1951.0,,Javnadarflokkurin (Faroe Islands),female,,,,
Grazyna Gesicka,Poland,1951.0,2010.0,Klub Parlamentarny Prawo I Sprawiedliwosc (Poland),female,,,,
Pelonomi Venson Moitoi,Botswana,1951.0,,BDP (Botswana),female,,,,
Lucila Garfias Gutierrez,Mexico,1951.0,,Partido Nueva Alianza (Mexico),female,,,,
Ann Marie Buerkle,United States,1951.0,,Republican (United States),female,,,,
Heidemarie Wright,Germany,1951.0,,SPD (Germany),female,,,,
Jelisaveta Veljkovic,Serbia,1951.0,,Party Of United Pensioners Of Serbia (Serbia),female,,,,
Sylvi Graham,Norway,1951.0,,Hoyre (Norway),female,,,,
Elisabeth Robekk Norve,Norway,1951.0,,Hoyre (Norway),female,,,,
Megalooikonomou Theodora,Greece,1951.0,,Union Of Centrists (Greece),female,,,,
Helen Keogh,Ireland,1951.0,,Progressive Democrats (Ireland),female,,,,
Kanellopoulou Maria,Greece,1951.0,,Syriza Coalition Of The Radical Left (Greece),female,,,6600.0,makanello
Cristina Narbona,Spain,1951.0,,PSOE (Spain),female,,,,
Mona Jonsson,Sweden,1951.0,,Miljopartiet De Grona (Sweden),female,,,,
Jean Schmidt,United States,1951.0,,Republican (United States),female,,,,
Shelley Berkley,United States,1951.0,,Democrat (United States),female,,,,
Yasmin Ratansi,Canada,1951.0,,Liberal (Canada),female,,,7704.0,Yasmin_Ratansi
Vreni Muller Hemmi,Switzerland,1951.0,,S (Switzerland),female,,,,
Maureen O Sullivan,Ireland,1951.0,,Independent Politician (Ireland),female,,,6190.0,MOSullivanTD
Cornelia Behm,Germany,1951.0,,Grune (Germany),female,,,,
Ellen Tauscher,United States,1951.0,,Democrat (United States),female,,,,
Sandra Rosado,Brazil,1951.0,,PSB (Brazil),female,,,,
Tove Karoline Knutsen,Norway,1951.0,,Arbeiderpartiet (Norway),female,,,,
Dancia Penn Sallah,United Kingdom,1951.0,,VIP (British Virgin Islands),female,,,,
Martina Bunge,Germany,1951.0,,Die Linke (Germany),female,,,,
Deb Fischer,United States,1951.0,,Republican (United States),female,,senatorfischer,103783.0,SenatorFischer
Martha Sofia Tamayo Morales,Mexico,1951.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Marika Tuus Laul,Estonia,1951.0,,Estonian Centre Party (Estonia),female,,,,
Maria Lourdes Pia Luisa Alcorta Suero,Peru,1951.0,,Concertacion Parlamentaria (Peru),female,,,66047.0,AlcortaLourdes
Sabine Leutheusser Schnarrenberger,Germany,1951.0,,FDP (Germany),female,,,,
Deborah Pryce,United States,1951.0,,Republican (United States),female,,,,
Sharon Grierson,Australia,1951.0,,Australian Labor Party (Australia),female,,,,
Ulla Jelpke,Germany,1951.0,,Die Linke (Germany),female,,,13355.0,UllaJelpke
Ulrike Merten,Germany,1951.0,,SPD (Germany),female,,,,
Anna Sobecka,Poland,1951.0,,Klub Parlamentarny Prawo I Sprawiedliwosc (Poland),female,,,,
Angelika Kruger Leissner,Germany,1951.0,,SPD (Germany),female,,,,
